2483	Scary woods at night
1157	Scary graveyard wind
2500	Creepy tomb ambience
1172	Wind cold interior
1163	Door creak opened by the wind
337	Wooden floorboard creak
1236	Man running in the forest
1214	Walking in the forest
2623	Ghostly whoosh passing
494	Slow heartbeat
773	Horror impact
2630	Terror sweep of darkness
634	Haunted slow orchestra
